"","weather","risk","treatment","outcome"
"808","normal","high","treated","not-burned"
"809","dry","low","untreated","not-burned"
"810","wet","low","untreated","not-burned"
"811","dry","low","untreated","burned"
"812","normal","high","treated","not-burned"
"813","wet","high","treated","not-burned"
"814","normal","high","treated","not-burned"
"815","wet","low","untreated","not-burned"
"816","normal","low","untreated","not-burned"
"817","dry","low","treated","not-burned"
"818","normal","low","untreated","not-burned"
"819","normal","high","treated","not-burned"
"820","dry","low","untreated","burned"
"821","wet","high","treated","not-burned"
"822","dry","high","treated","not-burned"
"823","normal","low","treated","not-burned"
"824","wet","low","untreated","not-burned"
"825","wet","low","untreated","not-burned"
"826","normal","high","treated","burned"
"827","normal","low","treated","not-burned"
"828","dry","high","treated","not-burned"
"829","normal","low","untreated","not-burned"
"830","wet","high","untreated","not-burned"
"831","normal","low","untreated","not-burned"
"832","normal","low","untreated","not-burned"
"833","dry","high","untreated","not-burned"
"834","dry","low","treated","not-burned"
"835","normal","low","treated","burned"
"836","wet","low","treated","not-burned"
"837","wet","low","treated","not-burned"
"838","dry","low","untreated","not-burned"
"839","wet","low","untreated","not-burned"
"840","wet","low","untreated","not-burned"
"841","wet","low","untreated","not-burned"
"842","wet","low","untreated","not-burned"
"843","normal","high","treated","not-burned"
"844","normal","low","treated","not-burned"
"845","normal","low","treated","not-burned"
"846","wet","low","treated","not-burned"
"847","wet","high","treated","not-burned"
"848","normal","high","treated","not-burned"
"849","wet","low","untreated","not-burned"
"850","wet","low","untreated","not-burned"
"851","wet","low","untreated","not-burned"
"852","normal","low","untreated","not-burned"
"853","normal","low","untreated","not-burned"
"854","normal","high","treated","not-burned"
"855","normal","low","treated","not-burned"
"856","dry","low","untreated","not-burned"
"857","wet","low","untreated","not-burned"
"858","wet","low","treated","not-burned"
"859","wet","low","untreated","not-burned"
"860","normal","high","treated","not-burned"
"861","normal","low","treated","not-burned"
"862","normal","low","treated","not-burned"
"863","dry","low","untreated","not-burned"
"864","dry","high","treated","not-burned"
"865","normal","high","treated","not-burned"
"866","normal","low","untreated","not-burned"
"867","normal","low","treated","not-burned"
"868","normal","low","untreated","not-burned"
"869","dry","high","untreated","burned"
"870","dry","low","untreated","burned"
"871","normal","low","treated","not-burned"
"872","normal","high","treated","burned"
"873","normal","low","untreated","not-burned"
"874","wet","low","treated","not-burned"
"875","normal","high","treated","not-burned"
"876","normal","low","untreated","not-burned"
"877","normal","low","untreated","not-burned"
"878","dry","low","untreated","not-burned"
"879","dry","high","treated","not-burned"
"880","normal","low","treated","not-burned"
"881","wet","high","treated","not-burned"
"882","normal","low","untreated","not-burned"
"883","wet","low","untreated","not-burned"
"884","normal","low","untreated","not-burned"
"885","wet","low","treated","not-burned"
"886","normal","low","untreated","not-burned"
"887","dry","low","treated","burned"
"888","wet","high","treated","not-burned"
"889","normal","high","treated","not-burned"
"890","normal","low","untreated","not-burned"
"891","normal","high","untreated","not-burned"
"892","normal","low","untreated","not-burned"
"893","wet","low","untreated","not-burned"
"894","dry","low","treated","not-burned"
"895","wet","low","untreated","not-burned"
"896","dry","high","treated","burned"
"897","wet","low","untreated","not-burned"
"898","dry","high","treated","not-burned"
"899","dry","low","untreated","burned"
"900","wet","low","untreated","not-burned"
"901","normal","low","untreated","not-burned"
"902","normal","high","treated","not-burned"
"903","wet","low","untreated","not-burned"
"904","dry","low","treated","not-burned"
"905","normal","high","treated","not-burned"
"906","normal","low","untreated","not-burned"
"907","wet","low","untreated","not-burned"
"908","wet","low","untreated","not-burned"
"909","wet","low","treated","not-burned"
"910","wet","high","treated","burned"
"911","wet","low","treated","not-burned"
"912","normal","low","untreated","not-burned"
"913","normal","low","untreated","not-burned"
"914","normal","low","treated","not-burned"
"915","normal","high","untreated","not-burned"
"916","normal","low","untreated","burned"
"917","normal","low","untreated","not-burned"
"918","normal","high","treated","not-burned"
"919","wet","low","treated","not-burned"
"920","wet","low","treated","not-burned"
"921","normal","low","treated","not-burned"
"922","normal","low","untreated","not-burned"
"923","normal","low","untreated","not-burned"
"924","normal","high","untreated","not-burned"
"925","normal","high","untreated","not-burned"
"926","wet","low","untreated","not-burned"
"927","normal","low","untreated","not-burned"
"928","normal","low","untreated","not-burned"
"929","wet","low","treated","not-burned"
"930","dry","high","treated","not-burned"
"931","dry","low","treated","not-burned"
"932","normal","low","treated","not-burned"
"933","normal","low","treated","not-burned"
"934","normal","low","treated","not-burned"
"935","dry","low","untreated","burned"
"936","normal","low","untreated","not-burned"
"937","wet","low","untreated","not-burned"
"938","wet","low","treated","not-burned"
"939","wet","high","treated","not-burned"
"940","wet","low","treated","not-burned"
"941","dry","low","treated","not-burned"
"942","dry","high","untreated","not-burned"
"943","normal","low","untreated","not-burned"
"944","normal","low","untreated","not-burned"
"945","normal","low","untreated","not-burned"
"946","normal","low","treated","not-burned"
"947","dry","high","treated","not-burned"
"948","normal","low","untreated","not-burned"
"949","normal","high","treated","not-burned"
"950","wet","low","treated","not-burned"
"951","dry","low","untreated","burned"
"952","normal","high","treated","burned"
"953","normal","high","treated","not-burned"
"954","dry","low","untreated","burned"
"955","dry","high","treated","not-burned"
"956","dry","low","untreated","burned"
"957","normal","high","treated","not-burned"
"958","normal","high","treated","burned"
"959","normal","high","untreated","not-burned"
"960","wet","low","treated","not-burned"
"961","normal","low","untreated","not-burned"
"962","normal","low","treated","not-burned"
"963","wet","low","treated","not-burned"
"964","wet","low","untreated","not-burned"
"965","normal","low","untreated","not-burned"
"966","normal","high","treated","burned"
"967","wet","low","untreated","not-burned"
"968","wet","low","treated","not-burned"
"969","wet","high","treated","not-burned"
"970","wet","low","untreated","not-burned"
"971","wet","low","treated","not-burned"
"972","normal","low","untreated","not-burned"
"973","normal","high","untreated","burned"
"974","dry","low","treated","not-burned"
"975","normal","high","treated","not-burned"
"976","wet","low","untreated","not-burned"
"977","normal","low","treated","not-burned"
"978","normal","low","treated","not-burned"
"979","normal","low","treated","not-burned"
"980","normal","high","treated","not-burned"
"981","wet","low","untreated","not-burned"
"982","wet","low","untreated","not-burned"
"983","normal","high","untreated","not-burned"
"984","normal","low","treated","not-burned"
"985","wet","low","treated","not-burned"
"986","dry","high","treated","not-burned"
"987","normal","low","treated","not-burned"
"988","wet","low","untreated","not-burned"
"989","wet","low","treated","not-burned"
"990","normal","high","untreated","not-burned"
"991","normal","low","treated","not-burned"
"992","normal","low","untreated","not-burned"
"993","dry","low","untreated","not-burned"
"994","normal","low","untreated","not-burned"
"995","normal","low","untreated","not-burned"
"996","wet","low","treated","not-burned"
"997","normal","low","treated","not-burned"
"998","normal","low","untreated","not-burned"
"999","normal","high","treated","not-burned"
"1000","dry","high","treated","not-burned"
"1001","normal","high","treated","not-burned"
"1002","wet","low","untreated","not-burned"
"1003","dry","high","treated","not-burned"
"1004","dry","high","treated","not-burned"
"1005","wet","low","untreated","not-burned"
"1006","normal","high","treated","not-burned"
"1007","dry","high","treated","not-burned"
"1008","normal","high","treated","not-burned"
"1009","dry","high","treated","not-burned"
"1010","wet","low","untreated","not-burned"
"1011","normal","low","treated","not-burned"
"1012","normal","low","untreated","not-burned"
"1013","normal","low","treated","not-burned"
"1014","wet","high","treated","not-burned"
"1015","normal","low","untreated","not-burned"
"1016","wet","low","untreated","not-burned"
"1017","normal","low","untreated","not-burned"
"1018","normal","high","treated","not-burned"
"1019","normal","low","treated","not-burned"
"1020","normal","low","treated","not-burned"
"1021","normal","low","treated","not-burned"
"1022","normal","high","untreated","not-burned"
"1023","normal","high","untreated","not-burned"
"1024","normal","low","untreated","not-burned"
"1025","wet","high","treated","not-burned"
"1026","normal","high","treated","not-burned"
"1027","dry","low","treated","not-burned"
"1028","wet","low","untreated","not-burned"
"1029","normal","low","untreated","not-burned"
"1030","normal","low","treated","not-burned"
"1031","normal","high","treated","not-burned"
"1032","dry","high","treated","not-burned"
"1033","normal","high","treated","not-burned"
"1034","dry","high","treated","not-burned"
"1035","wet","low","untreated","not-burned"
"1036","dry","low","treated","not-burned"
"1037","normal","low","treated","not-burned"
"1038","normal","low","treated","not-burned"
"1039","wet","low","untreated","not-burned"
